name,avg_rating,total_reviews,address,phone_number,website,region,Business Type,email
Restaurant Persia,4.2,306,"Rue des Chapeliers 30, 1000 Bruxelles",0468 06 46 76,https://www.restopersia.be,brussels,restaurant,booking@restopersia.be
Pasta Divina,4.6,"2,160","Rue de la Montagne 16, 1000 Bruxelles",02 511 21 55,https://www.pastadivina.be,brussels,restaurant,info@pastadivina.be
Beat restaurant & bar,4.1,753,"Rue de l'Enseignement 1, 1000 Bruxelles",0496 91 29 71,https://www.beatrestaurants.be,brussels,restaurant,
La Table de Mus,4.6,579,"Pl. de la Vieille Halle aux Blés 31, 1000 Bruxelles",02 511 05 86,https://www.latabledemus.be,brussels,restaurant,
Harvest,4.4,517,"Pl. du Samedi 14, 1000 Bruxelles",02 781 07 27,https://www.harvestrestaurantbruxelles.be,brussels,restaurant,
Comme Chez Soi,4.6,655,"Pl. Rouppe 23, 1000 Bruxelles",02 512 29 21,https://www.commechezsoi.be,brussels,restaurant,
Le Marmiton,4.5,"2,734","Galerie de la Reine 38, Rue des Bouchers 43, 1000 Bruxelles",02 511 79 10,https://www.lemarmiton.be,brussels,restaurant,
l'Atelier de Willy,4.4,393,"Bd Emile Jacqmain 118, 1000 Bruxelles",0471 65 08 27,https://www.latelierdewilly.be,brussels,restaurant,info@chez-willy.be
The Lobster House,4.7,"5,268","Rue des Bouchers 34, 1000 Bruxelles",02 502 20 16,https://www.thelobsterhouse.be,brussels,restaurant,16lobsterhouse@live.frRue
Lexpress,4.5,"2,986","Rue des Chapeliers 8, 1000 Bruxelles",02 512 88 83,,brussels,restaurant,
VIAGE Grill restaurant,3.6,28,"Bd Anspach 30, 1000 Bruxelles",02 300 01 00,https://www.viage.be,brussels,restaurant,
Le Bistro - Porte de Hal,4.6,"4,769","Bd de Waterloo 138, 1000 Bruxelles",02 539 44 54,https://www.le-bistro.be,brussels,restaurant,
Plaka,4.3,"3,053","Rue du Marché aux Fromages 6, 1000 Bruxelles",02 511 21 27,https://www.snackplaka.be,brussels,restaurant,
Brussels Grill Debrouckere,4.0,"1,270","Pl. De Brouckère 19, 1000 Bruxelles",02 219 12 19,https://www.brussels-grill.be,brussels,restaurant,
L’Ana Thème,4.5,262,"Rue de la Fourche 14, 1000 Bruxelles",0472 74 64 46,https://www.lanatheme.be,brussels,restaurant,
Le Pêcheur,4.3,"1,775","Rue de la Fourche 33, 1000 Bruxelles",0487 73 02 62,https://www.lepecheurbrussels.com,brussels,restaurant,
Restaurant de l'Ogenblik,4.2,561,"Galerie des Princes 1, 1000 Bruxelles",02 511 61 51,https://www.ogenblik.be,brussels,restaurant,
GUS,4.8,325,"Rue des Cultes 36, 1000 Bruxelles",02 265 79 61,https://www.gus-brussels.be,brussels,restaurant,
Le Chou de Bruxelles,4.6,"1,222","Rue de Florence 26, 1050 Bruxelles",02 537 69 95,https://www.lechoudebruxelles.be,brussels,restaurant,
L'Ancien Bruxelles,4.1,449,"Rue des Renards 32, 1000 Bruxelles",02 513 91 55,https://www.ancienbruxelles.be,brussels,restaurant,reservations@ancienbruxelles.be
Chez Léon,3.9,"10,921","Rue des Bouchers 18, 1000 Bruxelles",02 511 14 15,https://www.chezleon.be,brussels,restaurant,welcome@leon1893.com
La Marée,4.6,741,"Rue de Flandre 99, 1000 Bruxelles",02 511 00 40,https://www.lamaree-sa.com,brussels,restaurant,
Yummy Bowl,4.8,740,"Rue des Eperonniers 49, 1000 Bruxelles",02 265 18 02,https://www.yummybowl.be,brussels,restaurant,
Chez Gudule,4.1,378,"Treurenberg 9, 1000 Bruxelles",02 733 66 68,https://www.chezgudule.be,brussels,restaurant,
The blue,4.6,"2,527","Rue du Marché aux Fromages 18, 1000 Bruxelles",0486 65 96 75,,brussels,restaurant,
Aux Armes de Bruxelles,4.2,"2,735","Rue des Bouchers 13, 1000 Bruxelles",02 511 55 50,https://www.auxarmesdebruxelles.com,brussels,restaurant,welcome@adb1921.com
Le Bourgeois,2.8,518,"Rue des Bouchers 17, 1000 Bruxelles",,,brussels,restaurant,
Le Rossini,4.6,247,"Bd Adolphe Max 7, 1000 Bruxelles",0487 84 67 83,https://www.restaurantlerossini.be,brussels,restaurant,0487846783info@restaurantlerossini.be
SAN Sablon,4.5,342,"Rue Joseph Stevens 12, 1000 Bruxelles",02 512 42 12,https://www.sansablon.be,brussels,restaurant,info@sansablon.be
SAN Sablon,4.5,342,"Rue Joseph Stevens 12, 1000 Bruxelles",02 512 42 12,https://www.sansablon.be,brussels,restaurant,sophie@shd.group
Fin de Siècle,4.6,"5,775","Rue des Chartreux 9, 1000 Bruxelles",,https://www.findesiecle.be,brussels,restaurant,
Restaurant Mozart,4.4,"1,497","Pt Rue des Bouchers 18/24, 1000 Bruxelles",0493 96 69 29,https://www.mozart-resto.be,brussels,restaurant,
Hispania Brussels,4.5,296,"Rue Bodenbroek 2, 1000 Bruxelles",02 512 91 32,https://www.hispaniabrussels.com,brussels,restaurant,
Cave du Roy,4.2,505,"Grand Place 14, 1000 Bruxelles",02 502 14 11,https://www.caveduroy.com,brussels,restaurant,info@caveduroy.com
Bia Mara,4.5,"3,836","Rue du Marché aux Poulets 41, 1000 Bruxelles",02 502 00 61,https://www.biamara.com,brussels,restaurant,
Restaurant Vincent,4.0,889,"Rue des Dominicains 8, 1000 Bruxelles",02 511 26 07,https://www.restaurantvincent.be,brussels,restaurant,
De Bruxelles et d'Ailleurs,,,"Rue du Congrès 30, 1000 Bruxelles",02 203 26 29,,brussels,restaurant,
Steak N'Chill Brussel,4.0,367,"Bd du Jardin Botanique 7, 1000 Bruxelles",02 675 55 51,https://www.steaknchillbrussels.be,brussels,restaurant,
Brussels Grill Grand Place,3.9,"1,754","Rue du Marché aux Herbes 89, 1000 Bruxelles",02 503 17 22,https://www.brussels-grill.be,brussels,restaurant,
Le Vismet,4.5,455,"Pl. Sainte-Catherine 23, 1000 Bruxelles",02 218 85 45,https://www.levismet.be,brussels,restaurant,
Bocconi,4.2,472,"Rue de l'Amigo 1, 1000 Bruxelles",02 547 47 15,https://www.roccofortehotels.com,brussels,restaurant,enquiries@roccofortehotels.com
Namaste Indian restaurant,4.2,"1,569","Rue Jules Van Praet 30, 1000 Bruxelles",02 513 07 11,https://www.namastebrussel.be,brussels,restaurant,
Brussel,,,"Rue Saint-Michel, 1000 Bruxelles",,,brussels,restaurant,
Feux de Bengale,4.1,"1,005","Rue des Eperonniers 69, 1000 Bruxelles",02 513 51 63,https://www.feuxdebengale.be,brussels,restaurant,
Pois Chiche,4.4,745,"Pl. de la Chapelle 15, 1000 Bruxelles",02 306 33 20,https://www.poischiche.be,brussels,restaurant,
Ellis Gourmet Burger,4.1,"2,058","Pl. Sainte-Catherine 4, 1000 Bruxelles",02 514 23 14,https://www.ellis.be,brussels,restaurant,
Lola,4.2,824,"Pl. du Grand Sablon 33, 1000 Bruxelles",02 514 24 60,https://www.lola-restaurant.be,brussels,restaurant,info@lola-restaurant.be
La bonne chère,4.9,221,"Rue Notre-Seigneur 19, 1000 Bruxelles",02 523 75 55,https://www.labonnechere.be,brussels,restaurant,contact@labonnechere.be
La Terrasse,4.1,895,"Rue des Bouchers 12, 1000 Bruxelles",,https://www.la-terrasse-de-bruxelles.be,brussels,restaurant,
't Kelderke,4.2,"1,435","Grand Place 15, 1000 Bruxelles",02 513 73 44,https://www.restaurant-het-kelderke.be,brussels,restaurant,
La Truffe Noire,4.4,447,"Bd de la Cambre 12, 1000 Bruxelles",02 640 44 22,https://www.truffenoire.com,brussels,restaurant,reservation@truffenoire.com
Le petit Chou de Bruxelles,3.4,290,"Rue du Vieux Marché aux Grains 2A, 1000 Bruxelles",02 502 60 37,,brussels,restaurant,
Brussels Brasserie,2.7,89,"Grand Place 34, 1000 Bruxelles",,,brussels,restaurant,
La Villa in the Sky,4.6,415,"IT Tower, Louizalaan 480/25th floor, 1050 Brussel",02 644 69 14,https://www.lavillainthesky.be,brussels,restaurant,info@lavillainthesky.be
Le Conteur,4.5,698,"Rue du Marché aux Poulets 32, 1000 Bruxelles",02 347 02 91,https://www.le-conteur.com,brussels,restaurant,reservations.leconteur@gmail.com
Gramm,4.5,218,"Rue de Flandre 86, 1000 Bruxelles",0495 10 18 22,https://www.grammrestaurant.be,brussels,restaurant,
East at West_Restaurant Libanais Bruxelles,4.7,321,"Bd de l'Empereur 26, 1000 Bruxelles",0465 20 60 24,https://www.eastatwest.be,brussels,restaurant,info@eastatwest.be
Hard Rock Cafe,4.3,"6,765","Grand Place 12A, 1000 Bruxelles",02 546 16 60,https://www.hardrockcafe.com,brussels,restaurant,
Au Vieux Saint Martin,4.2,"1,463","Pl. du Grand Sablon 38, 1000 Bruxelles",02 512 64 76,https://www.auvieuxsaintmartin.be,brussels,restaurant,
ComoTapas Bruselas,4.0,"1,071","Rue Antoine Dansaert 19, 1000 Bruxelles",02 503 03 30,https://www.comotapas.com,brussels,restaurant,
Restaurant beautiful,,,"Rue de la Fourche 9, 1000 Bruxelles",0466 11 25 11,,brussels,restaurant,
L'Everest,4.4,658,"Chaussée de Vleurgat 153 Ixelles, 1050 Brussel",02 647 57 77,https://www.leverest.be,brussels,restaurant,info@leverest.be
KoKoB,4.2,"1,690","Rue des Grands Carmes 10, 1000 Bruxelles",02 511 19 50,https://www.kokob.be,brussels,restaurant,
Grimbergen Cafe,4.2,"3,435","Pl. Sainte-Catherine 22, 1000 Bruxelles",02 229 00 09,https://www.grimbergencafe.be,brussels,restaurant,info@grimbergencafe.be
Au Stekerlapatte,4.4,674,"Rue des Prêtres 4, 1000 Bruxelles",02 512 86 81,https://www.austekerlapatte.be,brussels,restaurant,austekerlapatte@gmail.com
The Noodle Bar Brussels,4.3,"1,291","Rue du Marché aux Fromages 15, 1000 Bruxelles",0484 48 42 46,https://www.noodlebar.be,brussels,restaurant,MenuRoeselareroeselare@noodlebar.beBotermarkt
The Noodle Bar Brussels,4.3,"1,291","Rue du Marché aux Fromages 15, 1000 Bruxelles",0484 48 42 46,https://www.noodlebar.be,brussels,restaurant,MenuKortrijkkortrijk@noodlebar.beKortrijk
The Noodle Bar Brussels,4.3,"1,291","Rue du Marché aux Fromages 15, 1000 Bruxelles",0484 48 42 46,https://www.noodlebar.be,brussels,restaurant,Menubrussels@noodlebar.beBrussels
